Company,Sector,Price,1D,YTD,M.Cap,Date
Company,Sector,Price,1D,YTD,M.Cap,Date
Inter-Cairo For Aluminum Industry,Basic Materials,1.00,-,-,0,28/04
International Agricultural Products,Consumer Goods,19.92,-0.99%,+5.68%,9.9,28/04
International Business Corporation For Trade And Franchise,Consumer Goods,2.96,-4.21%,-2.31%,0.07,06/01
International Co For Investment & Development,Financials,4.42,-1.56%,-5.56%,0.44,28/04
International Company For Leasing (Incolease),Financials,15.76,-,-61.56%,0.8,28/04
International Company For Medical Industries,Health Care,2.63,+2.33%,+2.73%,0.15,06/01
International Dry Ice,Basic Materials,2.56,+0.39%,+8.94%,0,10/08
International Printing & Packaging Materials Co.,Industrials,1.00,-,-,0,28/04
Iron and Steel for Mines and Quarries,Basic Materials,7.24,-0.82%,+2.99%,7.07,28/04
Ismailia Development And Real Estate,Financials,38.80,+4.86%,-4.69%,1.42,28/04
Ismailia Misr Poultry,Consumer Goods,18.47,+6.76%,+33.84%,1.66,28/04
Ismailia National Food Industries,Consumer Goods,92.00,+0.15%,-27.56%,1.87,28/04
IT Synergy,Technology,5.00,-,-,0,12/01
Juhayna Food Industries,Consumer Goods,28.39,-1.08%,+12.30%,33.4,28/04
Kafr El Zayat Pesticides and Chemicals,Basic Materials,10.19,+0.30%,-0.10%,2.44,28/04
Lakah Group,Industrials,0.49,-2.00%,+6.52%,0,10/08
Lecico Egypt,Industrials,25.74,-0.58%,+0.63%,2.05,28/04
Macro Group Pharmaceuticals,Health Care,1.18,-1.67%,+3.51%,4.03,28/04
Mansoura Poultry,Consumer Goods,1.61,-1.23%,-4.73%,1.61,28/04
Maridive & Oil Services,Oil & Gas,0.43,-,-8.51%,10.72,28/04
Marsa Marsa Alam For Tourism Development,Consumer Services,3.37,-,+15.41%,0.16,28/04
Marseille Almasreia Alkhalegeya For Holding Investment,Financials,4.61,-0.86%,+9.24%,0.95,28/04
MB Engineering,Industrials,3.72,+4.79%,+644.00%,0,10/08
Medical Packaging Company,Industrials,1.64,-1.20%,-12.30%,1.07,28/04
Medinet Nasr Housing,Financials,3.40,-1.73%,+4.62%,7.14,14/08
Memphis Pharmaceuticals,Health Care,170.55,-1.27%,+9.19%,3.88,28/04
Mena Touristic & Real Estate Investment,Financials,5.75,-,+20.04%,1.39,28/04
Middle & West Delta Flour Mills,Consumer Goods,549.67,+1.23%,+14.56%,4.12,28/04
Middle East Glass Manufacturing,Industrials,43.92,-,-,0.64,28/04
Middle Egypt Flour Mills,Consumer Goods,101.59,-2.71%,-0.97%,1.49,28/04
Minapharm Pharmaceuticals,Health Care,595.86,-0.66%,+70.64%,7.02,28/04
Misr Beni Suef Cement,Industrials,272.99,-0.71%,+2.24%,15.02,28/04
Misr Cement (Qena),Industrials,191.45,+0.25%,+11.97%,18.37,28/04
Misr Chemical Industries,Basic Materials,35.14,+0.09%,+21.26%,3.85,28/04
Misr Elsalam For Development & Advanced Technology,Financials,1.00,-,-,0,18/05
Misr Fertilizers Production Company,Basic Materials,47.52,+0.04%,+55.80%,136.29,28/04
Misr Financial Investments,Financials,1.00,-,-,0,28/04
